"id","site_id","cctv_name","site_name_cctv","cctv_flusonic","cctv_alias","address","province_id","province_name","city_id","city_name","district_id","district_name","subdistrict_id","subdistrict_name","longitude","latitude","rtsp","rtmp","hls","status_cctvline","description","image1","image2","is_enabled","view_count","created_at","updated_at","deleted_at"
44,"700193","Cempaka-Putih-Timur-004-700193_4","Cempaka-Putih-Timur-001","Cempaka-Putih-Timur-005","Cempaka Putih Timur 005","Jl. Cempaka Putih Raya Depan Bank Danamon Sebrang Indomaret, Cempaka Putih Timur",NULL,"DKI JAKARTA",NULL,"JAKARTA PUSAT",NULL,"CEMPAKA PUTIH TIMUR",NULL,"CEMPAKA PUTIH","106.8707705","-6.176220512","rtsp://cctv.molecool.id:554/Cempaka-Putih-Timur-005","rtmp://cctv.molecool.id:1935/static/Cempaka-Putih-Timur-005","https://cctv.molecool.id/Cempaka-Putih-Timur-005/index.m3u8",NULL,"CEMPAKA PUTIH , CEMPAKA PUTIH TIMUR , JAKARTA PUSAT , DKI JAKARTA","https://cctv.molecool.id/Cempaka-Putih-Timur-005/preview.jpg","https://cctv.molecool.id/Cempaka-Putih-Timur-005/preview.jpg",1,0,"2018-11-21 15:54:21","2019-08-20 07:35:20",NULL
45,"700194","Cempaka-Putih-Timur-005-700194_3","Cempaka-Putih-Timur-004","Cempaka-Putih-Timur-006","Cempaka Putih Timur 006","Jl. Harapan Mulya (Kantor kelurahan)",NULL,"DKI JAKARTA",NULL,"JAKARTA PUSAT",NULL,"CEMPAKA PUTIH TIMUR",NULL,"CEMPAKA PUTIH","106.87162","-6.17929","rtsp://cctv.molecool.id:554/Cempaka-Putih-Timur-006","rtmp://cctv.molecool.id:1935/static/Cempaka-Putih-Timur-006","https://cctv.molecool.id/Cempaka-Putih-Timur-006/index.m3u8",NULL,"CEMPAKA PUTIH , CEMPAKA PUTIH TIMUR , JAKARTA PUSAT , DKI JAKARTA","https://cctv.molecool.id/Cempaka-Putih-Timur-006/preview.jpg","https://cctv.molecool.id/Cempaka-Putih-Timur-006/preview.jpg",1,0,"2018-11-21 15:54:21","2019-08-20 07:35:20",NULL
46,"700200","Cempaka-Putih-Timur-010-700200_2","Cempaka-Putih-Timur-004","Cempaka-Putih-Timur-007","Cempaka Putih Timur 007","Jl. Cempaka Putih Raya Pertigaan Jl. Cempaka Putih Tengah 21, Cempaka Putih Timur",NULL,"DKI JAKARTA",NULL,"JAKARTA PUSAT",NULL,"CEMPAKA PUTIH TIMUR",NULL,"CEMPAKA PUTIH","106.86832","-6.176301","rtsp://cctv.molecool.id:554/Cempaka-Putih-Timur-007","rtmp://cctv.molecool.id:1935/static/Cempaka-Putih-Timur-007","https://cctv.molecool.id/Cempaka-Putih-Timur-007/index.m3u8",NULL,"CEMPAKA PUTIH , CEMPAKA PUTIH TIMUR , JAKARTA PUSAT , DKI JAKARTA","https://cctv.molecool.id/Cempaka-Putih-Timur-007/preview.jpg","https://cctv.molecool.id/Cempaka-Putih-Timur-007/preview.jpg",1,0,"2018-11-21 15:54:21","2019-08-20 07:35:20",NULL
47,"702117","Cengkareng-Barat-001-702117_4","Cengkareng Barat-001","Cengkareng-Barat-001","Cengkareng Barat 001","Jl. Cendrawasih Raya No. 40",NULL,"DKI JAKARTA",NULL,"JAKARTA BARAT",NULL,"CENGKARENG BARAT",NULL,"CENGKARENG","106.72471","-6.146561667","rtsp://cctv.molecool.id:554/Cengkareng-Barat-001","rtmp://cctv.molecool.id:1935/static/Cengkareng-Barat-001","https://cctv.molecool.id/Cengkareng-Barat-001/index.m3u8",NULL,"CENGKARENG , CENGKARENG BARAT , JAKARTA BARAT , DKI JAKARTA","https://cctv.molecool.id/Cengkareng-Barat-001/preview.jpg","https://cctv.molecool.id/Cengkareng-Barat-001/preview.jpg",1,0,"2018-11-21 15:54:21","2019-08-20 07:35:20",NULL
48,"702131","Cengkareng-Barat-013-702131_4","Cengkareng Barat-013","Cengkareng-Barat-002","Cengkareng Barat 002","Jl. Lingkar Luar",NULL,"DKI JAKARTA",NULL,"JAKARTA BARAT",NULL,"CENGKARENG BARAT",NULL,"CENGKARENG","106.7274662","-6.14915793","rtsp://cctv.molecool.id:554/Cengkareng-Barat-002","rtmp://cctv.molecool.id:1935/static/Cengkareng-Barat-002","https://cctv.molecool.id/Cengkareng-Barat-002/index.m3u8",NULL,"CENGKARENG , CENGKARENG BARAT , JAKARTA BARAT , DKI JAKARTA","https://cctv.molecool.id/Cengkareng-Barat-002/preview.jpg","https://cctv.molecool.id/Cengkareng-Barat-002/preview.jpg",1,0,"2018-11-21 15:54:21","2019-08-20 07:35:20",NULL
49,"702171","Cengkareng-Barat-029-702171_3","Cengkareng Barat-029","Cengkareng-Barat-003","Cengkareng Barat 003","Jl. Daan Mogot samping Halte Busway Sumur Bor",NULL,"DKI JAKARTA",NULL,"JAKARTA BARAT",NULL,"KALIDERES",NULL,"KALIDERES","106.7193705","-6.15300784","rtsp://cctv.molecool.id:554/Cengkareng-Barat-003","rtmp://cctv.molecool.id:1935/static/Cengkareng-Barat-003","https://cctv.molecool.id/Cengkareng-Barat-003/index.m3u8",NULL,"KALIDERES , KALIDERES , JAKARTA BARAT , DKI JAKARTA","https://cctv.molecool.id/Cengkareng-Barat-003/preview.jpg","https://cctv.molecool.id/Cengkareng-Barat-003/preview.jpg",1,0,"2018-11-21 15:54:21","2019-08-20 07:35:20",NULL
50,"705127","Ciganjur-001-705127_2","Ciganjur-001","Ciganjur-001","Ciganjur 001","Jl. Mohamad Kahfi 2 pertigaan Jl. Perikanan",NULL,"DKI JAKARTA",NULL,"JAKARTA SELATAN",NULL,"CIGANJUR",NULL,"JAGAKARSA","106.815979","-6.344855","rtsp://cctv.molecool.id:554/Ciganjur-001","rtmp://cctv.molecool.id:1935/static/Ciganjur-001","https://cctv.molecool.id/Ciganjur-001/index.m3u8",NULL,"JAGAKARSA , CIGANJUR , JAKARTA SELATAN , DKI JAKARTA","https://cctv.molecool.id/Ciganjur-001/preview.jpg","https://cctv.molecool.id/Ciganjur-001/preview.jpg",1,2,"2018-11-21 15:54:21","2021-12-02 08:51:27",NULL
51,"705127","Ciganjur-001-705127_4","Ciganjur-001","Ciganjur-002","Ciganjur 002","Jl. Mohamad Kahfi 2 pertigaan Jl. Perikanan",NULL,"DKI JAKARTA",NULL,"JAKARTA SELATAN",NULL,"CIGANJUR",NULL,"JAGAKARSA","106.815979","-6.344855","rtsp://cctv.molecool.id:554/Ciganjur-002","rtmp://cctv.molecool.id:1935/static/Ciganjur-002","https://cctv.molecool.id/Ciganjur-002/index.m3u8",NULL,"JAGAKARSA , CIGANJUR , JAKARTA SELATAN , DKI JAKARTA","https://cctv.molecool.id/Ciganjur-002/preview.jpg","https://cctv.molecool.id/Ciganjur-002/preview.jpg",1,2,"2018-11-21 15:54:21","2021-08-28 01:50:59",NULL
52,"700032","Cikini-002-700032_3","Cikini-002","Cikini-001","Cikini 001","Jl. Cut Meutia (median Jl. pertigaan BNI, BAPINDO, dan Treva hotel) - kel. cikini - kec. menteng - Jakarta Pusat",NULL,"DKI JAKARTA",NULL,"JAKARTA PUSAT",NULL,"CIKINI",NULL,"MENTENG","106.8360707","-6.186947914","rtsp://cctv.molecool.id:554/Cikini-001","rtmp://cctv.molecool.id:1935/static/Cikini-001","https://cctv.molecool.id/Cikini-001/index.m3u8",NULL,"MENTENG , CIKINI , JAKARTA PUSAT , DKI JAKARTA","https://cctv.molecool.id/Cikini-001/preview.jpg","https://cctv.molecool.id/Cikini-001/preview.jpg",1,0,"2018-11-21 15:54:21","2019-08-20 07:35:20",NULL
53,"700033","Cikini-003-700033_2","Cikini-003","Cikini-002","Cikini 002","Jl. Cikini Raya (samping hias ria plaza) - kel. cikini - kec. menteng - jakarta pusat",NULL,"DKI JAKARTA",NULL,"JAKARTA PUSAT",NULL,"CIKINI",NULL,"MENTENG","106.84028","-6.196748","rtsp://cctv.molecool.id:554/Cikini-002","rtmp://cctv.molecool.id:1935/static/Cikini-002","https://cctv.molecool.id/Cikini-002/index.m3u8",NULL,"MENTENG , CIKINI , JAKARTA PUSAT , DKI JAKARTA","https://cctv.molecool.id/Cikini-002/preview.jpg","https://cctv.molecool.id/Cikini-002/preview.jpg",1,3,"2018-11-21 15:54:21","2021-11-12 05:14:38",NULL
